"1961 Hallstahammar",15998
"1962 Norberg",5796
"1980 Västerås",150134
"1981 Sala",22631
"1982 Fagersta",13415
"1983 Köping",26116
"1984 Arboga",13934
"2021 Vansbro",6837
"2023 Malung-Sälen",10114
"2026 Gagnef",10241
"2029 Leksand",15640
"2031 Rättvik",10837
"2034 Orsa",6887
"2039 Älvdalen",7068
"2061 Smedjebacken",10894
"2062 Mora",20369
"2080 Falun",58340
"2081 Borlänge",51964
"2082 Säter",11160
"2083 Hedemora",15566
"2084 Avesta",23256
"2085 Ludvika",26992
"2101 Ockelbo",5896
"2104 Hofors",9660
"2121 Ovanåker",11609
"2132 Nordanstig",9481
"2161 Ljusdal",19028
"2180 Gävle",100603
"2181 Sandviken",39259
"2182 Söderhamn",25782
"2183 Bollnäs",26918
"2184 Hudiksvall",37401
"2260 Ånge",9480
"2262 Timrå",18030
"2280 Härnösand",25190
"2281 Sundsvall",98810
"2282 Kramfors",18610
"2283 Sollefteå",19709
"2284 Örnsköldsvik",56139
"2303 Ragunda",5444
"2305 Bräcke",6501
"2309 Krokom",14925
"2313 Strömsund",11791
"2321 Åre",11268
"2326 Berg",7122
"2361 Härjedalen",10154
"2380 Östersund",62601
"2401 Nordmaling",7103
"2403 Bjurholm",2451
"2404 Vindeln",5412
"2409 Robertsfors",6784
"2417 Norsjö",4086
"2418 Malå",3133
"2421 Storuman",5902
"2422 Sorsele",2516
"2425 Dorotea",2646
"2460 Vännäs",8776
"2462 Vilhelmina",6787
"2463 Åsele",2809
"2480 Umeå",125080
"2481 Lycksele",12257
"2482 Skellefteå",72723
"2505 Arvidsjaur",6440
"2506 Arjeplog",2821
"2510 Jokkmokk",5081
"2513 Överkalix",3367
"2514 Kalix",16169
"2518 Övertorneå",4461
"2521 Pajala",6101
"2523 Gällivare",17825
"2560 Älvsbyn",8274
"2580 Luleå",77470
"2581 Piteå",42184
"2582 Boden",28181
"2583 Haparanda",9805
"2584 Kiruna",23116
